,classname,numberOfBugsFoundUntil, numberOfNonTrivialBugsFoundUntil: , numberOfMajorBugsFoundUntil: , numberOfCriticalBugsFoundUntil: , numberOfHighPriorityBugsFoundUntil: ,numberOfVersionsUntil, numberOfFixesUntil: , numberOfRefactoringsUntil: , numberOfAuthorsUntil: , linesAddedUntil: , maxLinesAddedUntil: , avgLinesAddedUntil: , linesRemovedUntil: , maxLinesRemovedUntil: , avgLinesRemovedUntil: , codeChurnUntil: , maxCodeChurnUntil: , avgCodeChurnUntil: , ageWithRespectTo: , weightedAgeWithRespectTo: , CvsEntropy , CvsWEntropy , CvsLinEntropy , CvsLogEntropy , CvsExpEntropy , cbo , dit , fanIn , fanOut , lcom , noc , numberOfAttributes , numberOfAttributesInherited , numberOfLinesOfCode , numberOfMethods , numberOfMethodsInherited , numberOfPrivateAttributes , numberOfPrivateMethods , numberOfPublicAttributes , numberOfPublicMethods , rfc , wmc ,bugs, nonTrivialBugs , majorBugs , criticalBugs , highPriorityBugs 
0,['org::eclipse::pde::internal::core::text::toc::TocAnchor ,0,0,0,0,0,5,0,0,2,185,95,37,24,20,4.8,161,95,32.2,59.5714,0.96139,3.71677,0.0116199,0.0160982,0.117977,0.0417074,5,5,3,2,21,0,1,28,23,7,248,1,0,0,7,10,7,0,0,0,0,0
1,['org::eclipse::pde::internal::ui::editor::SystemFileEditorInputFactory ,0,0,0,0,0,10,1,0,7,22,10,2.2,12,3,1.2,10,10,1,335.286,121.584,6.41569,0.00243687,0.0163241,0.169334,0.0343568,1,1,0,1,1,0,0,0,8,2,6,0,0,0,2,5,2,0,0,0,0,0
2,['org::eclipse::pde::internal::ui::editor::cheatsheet::simple::actions::SimpleCSRemoveRunObjectAction ,1,1,0,0,0,2,0,0,2,8,8,4,15,15,7.5,-7,0,-3.5,103.429,69.2857,1.76682,0.000573661,0.0100966,0.0617154,0.0339284,4,1,1,3,3,0,1,0,28,3,0,1,0,0,3,12,9,0,0,0,0,0
3,['org::eclipse::pde::internal::ui::editor::outline::QuickOutlineNamePatternFilter ,1,0,0,0,0,2,0,0,2,10,10,5,18,18,9,-8,0,-4,92.2857,58.1429,1.76682,0.000698369,0.0100966,0.0617154,0.0339284,1,1,1,0,6,0,1,0,36,4,0,1,1,0,3,9,10,0,0,0,0,0
4,['org::eclipse::pde::internal::ui::tests::macro::FocusCommand ,0,0,0,0,0,5,0,0,3,14,6,2.8,11,5,2.2,3,2,0.6,183.857,103.633,6.01575,0.00555764,0.0177997,0.167057,0.0373325,4,2,1,3,15,0,1,0,32,6,18,0,0,0,6,17,8,0,0,0,0,0
5,['org::eclipse::pde::internal::ui::build::ProductExportJob ,8,5,0,0,0,75,0,0,5,1019,107,13.5867,1267,559,16.8933,-248,104,-3.30667,188.143,16.434,21.9852,0.487638,0.0409818,0.542209,0.0434607,3,2,1,2,1,0,2,1,8,2,5,2,0,0,1,4,2,0,0,0,0,0
6,['org::eclipse::pde::internal::ui::PDEUIMessages ,232,143,7,0,0,410,15,7,8,2715,81,6.62195,1242,326,3.02927,1473,81,3.59268,178.714,68.0586,58.1518,0.575244,0.287622,5.64663,0.595488,0,1,0,0,0,0,2169,0,0,0,0,1,0,2168,0,0,0,28,2,0,0,0
7,['org::eclipse::pde::internal::ui::wizards::tools::ConvertedProjectWizard ,1,1,0,0,0,10,0,0,5,42,17,4.2,38,18,3.8,4,3,0.4,240.714,115.966,7.72196,0.00473706,0.0177746,0.198359,0.0343746,3,2,1,2,3,0,3,0,15,3,8,3,0,0,3,8,3,0,0,0,0,0
8,['org::eclipse::pde::internal::ui::correction::OrganizeExportPackageResolution ,1,0,0,0,0,8,1,1,3,21,10,2.625,20,6,2.5,1,10,0.125,150.429,32.0612,6.4354,0.00661633,0.0172875,0.173563,0.0347422,2,3,0,2,6,0,0,5,12,4,14,0,0,0,3,7,4,0,0,0,0,0
9,['org::eclipse::pde::internal::ui::views::plugins::JavaSearchOperation ,3,3,0,0,0,5,0,0,3,12,8,2.4,51,46,10.2,-39,6,-7.8,85.2857,31.7857,4.51037,0.00871249,0.0197511,0.14367,0.0516451,3,1,1,2,1,0,2,0,15,2,6,2,0,0,2,7,3,0,0,0,0,0
