,classname,cbo,dit,fanIn,fanOut,lcom,noc,numberOfAttributes,numberOfAttributesInherited,numberOfLinesOfCode,numberOfMethods,numberOfMethodsInherited,numberOfPrivateAttributes,numberOfPrivateMethods,numberOfPublicAttributes,numberOfPublicMethods,rfc,wmc,bugs,nonTrivialBugs,majorBugs,criticalBugs,highPriorityBugs,
0,org::eclipse::jdt::internal::core::search::indexing::IndexBinaryFolder , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 6.0 , 0.0 , 3 , 0 , 0 , 0.0 , 0 , 0.0 , 0.0 , 0 , 0 , 0 , 0 , 0 , 
1,org::eclipse::jdt::internal::compiler::codegen::CachedIndexEntry , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.0 , 0.0 , 0 , 0 , 0 , 0.0 , 0 , 0.0 , 0.0 , 0 , 0 , 0 , 0 , 0 , 
2,org::eclipse::jdt::internal::compiler::ast::ASTNode , 14 , 2 , 12 , 4 , 19 , 0 , 37 , 128 , 261.0 , 1.0 , 1 , 0 , 0 , 0.0 , 1 , 85.0 , 92.0 , 1 , 0 , 0 , 0 , 0 , 
3,org::eclipse::jdt::internal::compiler::lookup::MemberTypeBinding , 3 , 2 , 0 , 3 , 4 , 0 , 0 , 412 , 25.0 , 1.0 , 50 , 0 , 0 , 0.0 , 1 , 5.0 , 5.0 , 0 , 0 , 0 , 0 , 0 , 
4,org::eclipse::jdt::internal::eval::CodeSnippetParser , 0 , 2 , 0 , 0 , 117 , 0 , 1 , 108 , 26.0 , 3.0 , 1 , 0 , 0 , 1.0 , 0 , 7.0 , 4.0 , 0 , 0 , 0 , 0 , 0 , 
5,org::eclipse::jdt::internal::formatter::Location , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1.0 , 0.0 , 1 , 0 , 0 , 1.0 , 0 , 0.0 , 0.0 , 0 , 0 , 0 , 0 , 0 , 
6,org::eclipse::jdt::core::dom::SingleMemberAnnotation , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 1 , 0.0 , 0.0 , 6 , 0 , 0 , 0.0 , 0 , 0.0 , 0.0 , 0 , 0 , 0 , 0 , 0 , 
7,org::eclipse::jdt::internal::compiler::parser::NLSTag , 1 , 0 , 1 , 0 , 8 , 0 , 1 , 0 , 15.0 , 3.0 , 1 , 0 , 0 , 1.0 , 3 , 3.0 , 6.0 , 0 , 0 , 0 , 0 , 0 , 
8,org::eclipse::jdt::internal::compiler::parser::RecoveredBlock , 1 , 0 , 0 , 1 , 50 , 0 , 4 , 100 , 103.0 , 4.0 , 5 , 0 , 0 , 4.0 , 3 , 10.0 , 25.0 , 0 , 0 , 0 , 0 , 0 , 
9,org::eclipse::jdt::internal::core::CompilationUnitElementInfo , 1 , 0 , 1 , 0 , 9 , 0 , 0 , 0 , 9.0 , 2.0 , 4 , 0 , 0 , 0.0 , 1 , 4.0 , 4.0 , 0 , 0 , 0 , 0 , 0 , 
