,classname,numberOfBugsFoundUntil,numberOfNonTrivialBugsFoundUntil,numberOfMajorBugsFoundUntil,numberOfCriticalBugsFoundUntil,numberOfHighPriorityBugsFoundUntil,bugs,nonTrivialBugs,majorBugs,criticalBugs,highPriorityBugs,
0,ext::framework::a::importer::Activator , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
1,org::eclipse::osgi::framework::internal::reliablefile::ReliableFile , 5 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
2,org::osgi::framework::ServiceEvent , 3 , 3 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
3,org::eclipse::osgi::framework::internal::core::BundleProtectionDomainImpl , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
4,substitutes::z::Fz , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
5,circularity::test::Activator , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
6,org::eclipse::osgi::framework::internal::core::ConditionalPermissionSet , 7 , 7 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
7,org::eclipse::osgi::internal::module::BundleConstraint , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
8,org::eclipse::osgi::internal::resolver::SystemState , 6 , 5 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
9,org::eclipse::osgi::internal::module::VersionSupplier , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
10,org::osgi::framework::ServicePermission , 3 , 3 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
11,org::eclipse::osgi::framework::internal::core::FrameworkProperties , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
12,nativetest::d::Activator , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
13,substitutes::y::Ay , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
14,org::eclipse::osgi::framework::internal::core::ConsoleMsg , 4 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
15,substitutes::x::Kx , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
16,org::eclipse::equinox::launcher::Main , 29 , 27 , 4 , 2 , 1 , 3 , 0 , 1 , 0 , 0 , 
17,nativetest::b2::Activator , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 
18,org::eclipse::osgi::internal::baseadaptor::DefaultClassLoader , 4 , 4 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 
19,org::eclipse::osgi::framework::internal::core::StartLevelEvent , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 
20,org::eclipse::equinox::internal::launcher::Constants , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 
21,org::eclipse::osgi::tests::appadmin::SimpleApp , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
22,org::eclipse::core::runtime::internal::stats::StatsManager , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
23,org::eclipse::osgi::baseadaptor::bundlefile::DirZipBundleEntry , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
24,org::eclipse::osgi::framework::internal::core::BundlePermissionCollection , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
25,org::eclipse::osgi::util::TextProcessor , 6 , 6 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
26,org::eclipse::osgi::framework::internal::core::DependentPolicy , 3 , 3 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
27,org::eclipse::osgi::internal::resolver::GenericSpecificationImpl , 1 , 1 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 
28,org::eclipse::osgi::tests::services::resolver::SimplePlatformAdmin , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
29,org::eclipse::core::runtime::internal::adaptor::Locker_JavaNio , 3 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
30,thread::locktest::Class1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
31,legacy::lazystart::b::excluded::b::BBExcluded , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
32,org::eclipse::osgi::internal::signedcontent::PKCS7DateParser , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
33,chain::test::d::Activator , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
34,substitutes::y::Ny , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
35,osgi::lazystart::LazySimple , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
36,substitutes::x::Ix , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
37,org::eclipse::osgi::internal::module::ResolverExport , 5 , 5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
38,org::eclipse::osgi::internal::resolver::StateObjectFactoryImpl , 16 , 16 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
39,org::eclipse::osgi::framework::internal::core::StartLevelManager , 14 , 14 , 2 , 0 , 1 , 4 , 0 , 0 , 0 , 0 , 
40,org::eclipse::core::runtime::internal::adaptor::EclipseAppLauncher , 6 , 4 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
