,classname,numberOfBugsFoundUntil,numberOfNonTrivialBugsFoundUntil,numberOfMajorBugsFoundUntil,numberOfCriticalBugsFoundUntil,numberOfHighPriorityBugsFoundUntil,numberOfVersionsUntil,numberOfFixesUntil,numberOfRefactoringsUntil,numberOfAuthorsUntil,linesAddedUntil,maxLinesAddedUntil,avgLinesAddedUntil,linesRemovedUntil,maxLinesRemovedUntil,avgLinesRemovedUntil,codeChurnUntil,maxCodeChurnUntil,avgCodeChurnUntil,ageWithRespectTo,weightedAgeWithRespectTo,CvsEntropy,CvsWEntropy,CvsLinEntropy,CvsLogEntropy,CvsExpEntropy,cbo,dit,fanIn,fanOut,lcom,noc,numberOfAttributes,numberOfAttributesInherited,numberOfLinesOfCode,numberOfMethods,numberOfMethodsInherited,numberOfPrivateAttributes,numberOfPrivateMethods,numberOfPublicAttributes,numberOfPublicMethods,rfc,wmc,bugs,nonTrivialBugs,majorBugs,criticalBugs,highPriorityBugs,Unnamed: 24
0,org::apache::lucene::search::spans::SpanOrQuery ,3,3,0,0,0,12,1,0,6,12,1,1.0,12,1,1.0,0,0,0.0,244.714,95.4643,10.4552,0.0654643,0.0459837,0.312237,0.102246,17,3,10,7,55,0,2,0,170,11,44,2,0,0,11,59,29,1,0,0,0,0, 
1,org::apache::lucene::index::DocumentsWriter ,42,42,0,0,0,49,9,1,3,2311,644,47.1633,3683,2030,75.1633,-1372,218,-28.0,66.0,35.1323,13.9297,1.5636,0.121367,3.64623,0.318946,34,1,9,27,2415,0,60,0,829,70,9,25,11,19,0,263,177,2,0,0,0,0, 
2,org::apache::lucene::document::Document ,9,9,0,0,0,32,4,0,10,424,58,13.25,238,51,7.4375,186,51,5.8125,368.143,168.949,9.3931,0.127039,0.08773310000000001,0.400665,0.210511,179,1,174,5,120,0,6,0,138,16,18,5,0,1,16,99,46,0,0,0,0,0, 
3,org::apache::lucene::search::highlight::SimpleSpanFragmenter ,2,2,0,0,0,2,0,0,2,2,1,1.0,2,1,1.0,0,0,0.0,23.1429,8.07143,2.46341,0.00545206,0.0399775,0.135853,0.132707,5,1,1,4,3,0,7,0,40,3,11,7,0,0,3,12,10,0,0,0,0,0, 
4,org::apache::lucene::ant::FileExtensionDocumentHandler ,0,0,0,0,0,2,1,0,1,2,1,1.0,2,1,1.0,0,0,0.0,325.857,39.7857,0.0,0.0,0.0,0.0,0.0,5,1,0,5,0,0,0,0,19,1,10,0,0,0,1,7,3,0,0,0,0,0, 
5,org::apache::lucene::analysis::Token ,13,13,0,0,0,24,4,0,9,999,468,41.625,251,69,10.4583,748,420,31.1667,368.143,314.776,16.4641,0.6127729999999999,0.0871962,0.5429109999999999,0.230256,128,1,122,6,465,0,11,0,240,31,18,3,4,7,27,72,66,0,0,0,0,0, 
6,org::apache::lucene::search::FieldDoc ,1,1,0,0,0,7,0,0,4,30,20,4.28571,19,9,2.71429,11,11,1.57143,242.143,32.4762,4.24084,0.00884444,0.05667659999999999,0.217954,0.10808,0,2,0,0,0,0,1,2,4,1,19,0,0,1,1,1,1,0,0,0,0,0, 
7,org::tartarus::snowball::ext::DanishStemmer ,1,1,0,0,0,1,0,0,1,1,1,1.0,1,1,1.0,0,0,0.0,6.57143,0.0,1.35264,0.000832763,0.0350566,0.101164,0.09957919999999999,1,2,0,1,21,0,8,6,345,7,35,8,6,0,1,32,51,0,0,0,0,0, 
8,org::apache::lucene::search::SortField ,4,4,0,0,0,14,2,0,7,134,36,9.57143,22,5,1.57143,112,33,8.0,242.143,50.0437,6.609560000000001,0.0283922,0.0719954,0.30796,0.153127,6,1,4,2,21,0,18,0,44,7,18,4,0,1,7,20,13,1,0,0,0,0, 
9,org::apache::lucene::document::AbstractField ,4,4,0,0,0,6,1,0,3,349,274,58.1667,283,274,47.1667,66,38,11.0,121.571,103.953,5.34192,0.126545,0.103812,0.341011,0.279462,16,2,13,3,231,3,16,0,182,22,41,0,0,0,20,57,60,0,0,0,0,0, 
