,classname,numberOfBugsFoundUntil,numberOfNonTrivialBugsFoundUntil,numberOfMajorBugsFoundUntil,numberOfCriticalBugsFoundUntil,numberOfHighPriorityBugsFoundUntil,bugs,nonTrivialBugs,majorBugs,criticalBugs,highPriorityBugs,
0,org::apache::lucene::search::spans::SpanOrQuery , 3 , 3 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
1,org::apache::lucene::index::DocumentsWriter , 42 , 42 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 
2,org::apache::lucene::document::Document , 9 , 9 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
3,org::apache::lucene::search::highlight::SimpleSpanFragmenter , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
4,org::apache::lucene::ant::FileExtensionDocumentHandler , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
5,org::apache::lucene::analysis::Token , 13 , 13 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
6,org::apache::lucene::search::FieldDoc , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
7,org::tartarus::snowball::ext::DanishStemmer , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
8,org::apache::lucene::search::SortField , 4 , 4 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
9,org::apache::lucene::document::AbstractField , 4 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
10,org::apache::lucene::benchmark::byTask::utils::Config , 6 , 6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
11,org::apache::lucene::benchmark::quality::utils::DocNameExtractor , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
12,org::apache::lucene::analysis::cjk::CJKAnalyzer , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
13,org::apache::lucene::search::HitIterator , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
14,org::apache::lucene::misc::HighFreqTerms , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
15,org::apache::lucene::index::FormatPostingsDocsConsumer , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
16,org::apache::lucene::search::IndexSearcher , 5 , 5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
17,org::apache::lucene::store::db::DbIndexOutput , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
18,org::apache::lucene::search::highlight::TokenGroup , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
19,org::apache::lucene::index::MergeDocIDRemapper , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
20,org::apache::lucene::benchmark::byTask::tasks::RepSelectByPrefTask , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
21,org::apache::lucene::analysis::PorterStemFilter , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
22,org::apache::lucene::search::PhraseScorer , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
23,org::apache::lucene::analysis::WordlistLoader , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
24,org::apache::lucene::analysis::CharTokenizer , 3 , 3 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
25,org::apache::lucene::benchmark::byTask::tasks::ResetSystemEraseTask , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
