,classname,numberOfBugsFoundUntil,numberOfNonTrivialBugsFoundUntil,numberOfMajorBugsFoundUntil,numberOfCriticalBugsFoundUntil,numberOfHighPriorityBugsFoundUntil,bugs,nonTrivialBugs,majorBugs,criticalBugs,highPriorityBugs,
0,org::eclipse::mylyn::internal::trac::core::util::TracUtil , 6 , 4 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 
1,org::eclipse::mylyn::internal::sandbox::bridge::bugs::ProgressQueryHitCollector , 12 , 6 , 0 , 0 , 10 , 0 , 0 , 0 , 0 , 0 , 
2,org::eclipse::mylyn::internal::jira::core::model::filter::DateRangeFilter , 6 , 3 , 0 , 0 , 5 , 0 , 0 , 0 , 0 , 0 , 
3,org::eclipse::mylyn::internal::wikitext::textile::core::phrase::EscapeTextilePhraseModifier , 3 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
4,org::eclipse::mylyn::internal::java::ui::search::JavaImplementorsProvider , 3 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 
5,org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteVersion , 7 , 4 , 1 , 1 , 5 , 0 , 0 , 0 , 0 , 0 , 
6,org::eclipse::mylyn::tasklist::tests::Person , 2 , 1 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 
7,org::eclipse::mylyn::internal::bugzilla::ui::actions::ViewFavoriteAction , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
8,org::eclipse::mylyn::internal::tasks::ui::actions::SynchronizeSelectedAction , 29 , 14 , 2 , 1 , 20 , 0 , 0 , 0 , 0 , 0 , 
9,org::eclipse::mylyn::internal::jira::core::model::Subtask , 4 , 2 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 
10,org::eclipse::mylyn::internal::tasks::core::TaskComment , 3 , 2 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 0 , 
11,org::eclipse::mylyn::internal::tasks::core::TaskDataStorageManager , 7 , 3 , 0 , 0 , 5 , 0 , 0 , 0 , 0 , 0 , 
12,org::eclipse::mylyn::internal::hypertext::ui::editors::WebResourceContentProvider , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 
13,org::eclipse::mylyn::internal::team::ccvs::CvsActiveChangeSetProvider , 3 , 2 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 
14,org::eclipse::mylyn::internal::monitor::ui::ShellLifecycleListener , 7 , 4 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 0 , 
15,org::eclipse::mylyn::internal::bugzilla::core::MultiBugReportFactory , 14 , 8 , 0 , 0 , 9 , 0 , 0 , 0 , 0 , 0 , 
16,org::eclipse::mylyn::internal::sandbox::ui::commands::ContextCapturePauseHandler , 2 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 
17,org::eclipse::mylyn::internal::tasks::ui::editors::RepositoryTaskOutlinePage , 26 , 8 , 0 , 0 , 18 , 0 , 0 , 0 , 0 , 0 , 
18,org::eclipse::mylyn::ide::ui::AbstractFocusMarkerViewAction , 6 , 3 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 0 , 
19,org::eclipse::mylyn::wikitext::core::parser::markup::token::EntityReferenceReplacementToken , 4 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
20,org::eclipse::mylyn::internal::tasks::ui::editors::TaskListChangeAdapter , 4 , 1 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 0 , 
21,org::eclipse::mylyn::internal::wikitext::tasks::ui::WikiTextContextStructureBridge , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
22,org::eclipse::mylyn::internal::wikitext::ui::util::css::CssParser , 2 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
23,org::eclipse::mylyn::internal::tasks::ui::views::TaskRepositoryLabelProvider , 18 , 7 , 1 , 0 , 11 , 0 , 0 , 0 , 0 , 0 , 
24,org::eclipse::mylyn::internal::bugzilla::core::BugzillaFlagMapper , 4 , 3 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 
25,org::eclipse::mylyn::internal::bugzilla::ui::editor::BugzillaPeoplePart , 8 , 4 , 0 , 0 , 5 , 0 , 0 , 0 , 0 , 0 , 
26,org::eclipse::mylyn::internal::tasks::bugs::TasksBugsPlugin , 8 , 2 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 
27,org::eclipse::mylyn::internal::xplanner::ui::wizard::XPlannerTaskMapping , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 
