,classname,CvsEntropy,CvsWEntropy,CvsLinEntropy,CvsLogEntropy,CvsExpEntropy,
0,org::eclipse::mylyn::internal::trac::core::util::TracUtil , 3.08906 , 0.00556971 , 0.156012 , 9.15957 , 0.247042 , 
1,org::eclipse::mylyn::internal::sandbox::bridge::bugs::ProgressQueryHitCollector , 8.02984 , 0.00770449 , 0.177117 , 9.31724 , 0.318043 , 
2,org::eclipse::mylyn::internal::jira::core::model::filter::DateRangeFilter , 6.56833 , 0.00303072 , 0.155929 , 9.23919 , 0.221372 , 
3,org::eclipse::mylyn::internal::wikitext::textile::core::phrase::EscapeTextilePhraseModifier , 1.49003 , 0.00170474 , 0.0435179 , 0.121386 , 0.116244 , 
4,org::eclipse::mylyn::internal::java::ui::search::JavaImplementorsProvider , 3.17351 , 0.00112128 , 0.140881 , 9.13106 , 0.180758 , 
5,org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteVersion , 5.94514 , 0.0165403 , 0.153982 , 9.22122 , 0.218565 , 
6,org::eclipse::mylyn::tasklist::tests::Person , 1.39346 , 0.0146329 , 0.00175047 , 0.0318345 , 5.37898e-5 , 
7,org::eclipse::mylyn::internal::bugzilla::ui::actions::ViewFavoriteAction , 0 , 0 , 0 , 0 , 0 , 
8,org::eclipse::mylyn::internal::tasks::ui::actions::SynchronizeSelectedAction , 17.9092 , 0.16453 , 0.237774 , 9.65395 , 0.442279 , 
9,org::eclipse::mylyn::internal::jira::core::model::Subtask , 4.58293 , 0.00233645 , 0.145075 , 9.17116 , 0.186189 , 
10,org::eclipse::mylyn::internal::tasks::core::TaskComment , 3.39209 , 0.00213619 , 0.151673 , 9.15904 , 0.235454 , 
11,org::eclipse::mylyn::internal::tasks::core::TaskDataStorageManager , 6.31013 , 0.00457386 , 0.1853 , 9.29392 , 0.368531 , 
12,org::eclipse::mylyn::internal::hypertext::ui::editors::WebResourceContentProvider , 0 , 0 , 0 , 0 , 0 , 
13,org::eclipse::mylyn::internal::team::ccvs::CvsActiveChangeSetProvider , 2.8654 , 0.0145069 , 0.00717923 , 0.077595 , 0.00643021 , 
14,org::eclipse::mylyn::internal::monitor::ui::ShellLifecycleListener , 7.50839 , 0.0189542 , 0.173315 , 9.29668 , 0.300301 , 
15,org::eclipse::mylyn::internal::bugzilla::core::MultiBugReportFactory , 12.5709 , 0.0231278 , 0.223471 , 9.51024 , 0.456248 , 
16,org::eclipse::mylyn::internal::sandbox::ui::commands::ContextCapturePauseHandler , 1.84703 , 0.00132824 , 0.136921 , 9.09329 , 0.175609 , 
17,org::eclipse::mylyn::internal::tasks::ui::editors::RepositoryTaskOutlinePage , 22.6267 , 0.0339478 , 0.244168 , 9.77908 , 0.501247 , 
18,org::eclipse::mylyn::ide::ui::AbstractFocusMarkerViewAction , 4.83045 , 0.0195924 , 0.172387 , 9.23327 , 0.316587 , 
19,org::eclipse::mylyn::wikitext::core::parser::markup::token::EntityReferenceReplacementToken , 1.49003 , 0.00136379 , 0.0435179 , 0.121386 , 0.116244 , 
20,org::eclipse::mylyn::internal::tasks::ui::editors::TaskListChangeAdapter , 4.17741 , 0.00129052 , 0.160399 , 9.19476 , 0.270741 , 
21,org::eclipse::mylyn::internal::wikitext::tasks::ui::WikiTextContextStructureBridge , 0 , 0 , 0 , 0 , 0 , 
22,org::eclipse::mylyn::internal::wikitext::ui::util::css::CssParser , 0 , 0 , 0 , 0 , 0 , 
23,org::eclipse::mylyn::internal::tasks::ui::views::TaskRepositoryLabelProvider , 14.7305 , 0.110027 , 0.194064 , 9.49891 , 0.33466 , 
24,org::eclipse::mylyn::internal::bugzilla::core::BugzillaFlagMapper , 0 , 0 , 0 , 0 , 0 , 
25,org::eclipse::mylyn::internal::bugzilla::ui::editor::BugzillaPeoplePart , 5.39677 , 0.0125343 , 0.181826 , 9.26485 , 0.350936 , 
26,org::eclipse::mylyn::internal::tasks::bugs::TasksBugsPlugin , 4.83045 , 0.0113954 , 0.172387 , 9.23327 , 0.316587 , 
27,org::eclipse::mylyn::internal::xplanner::ui::wizard::XPlannerTaskMapping , 0 , 0 , 0 , 0 , 0 , 
28,org::eclipse::mylyn::tasks::tests::connector::MockTask , 3.39209 , 0.00108068 , 0.151673 , 9.15904 , 0.235454 , 
29,org::eclipse::mylyn::internal::commons::ui::NotificationPopupColors , 1.84703 , 0.00113849 , 0.136921 , 9.09329 , 0.175609 , 
30,org::eclipse::mylyn::internal::jira::core::service::web::rss::JiraRssSessionCallback , 3.05536 , 0.00447531 , 0.145929 , 9.13982 , 0.210507 , 
31,org::eclipse::mylyn::zest::tests::swt::LayoutExample , 0.903836 , 5.45541e-4 , 0.00316207 , 0.0269541 , 0.00573197 , 
32,org::xplanner::soap::XPlanner::XPlannerHttpSender , 5.14521 , 0.00295604 , 0.0303709 , 0.180548 , 0.101862 , 
33,org::eclipse::mylyn::internal::pde::ui::Messages , 0 , 0 , 0 , 0 , 0 , 
34,org::eclipse::mylyn::internal::bugzilla::ui::search::BugzillaSeveritySearchSorter , 5.5048 , 0.00223878 , 0.157879 , 9.21892 , 0.243226 , 
