,classname,numberOfBugsFoundUntil,numberOfNonTrivialBugsFoundUntil,numberOfMajorBugsFoundUntil,numberOfCriticalBugsFoundUntil,numberOfHighPriorityBugsFoundUntil,numberOfVersionsUntil,numberOfFixesUntil,numberOfRefactoringsUntil,numberOfAuthorsUntil,linesAddedUntil,maxLinesAddedUntil,avgLinesAddedUntil,linesRemovedUntil,maxLinesRemovedUntil,avgLinesRemovedUntil,codeChurnUntil,maxCodeChurnUntil,avgCodeChurnUntil,ageWithRespectTo,weightedAgeWithRespectTo,CvsEntropy,CvsWEntropy,CvsLinEntropy,CvsLogEntropy,CvsExpEntropy,cbo,dit,fanIn,fanOut,lcom,noc,numberOfAttributes,numberOfAttributesInherited,numberOfLinesOfCode,numberOfMethods,numberOfMethodsInherited,numberOfPrivateAttributes,numberOfPrivateMethods,numberOfPublicAttributes,numberOfPublicMethods,rfc,wmc,bugs,nonTrivialBugs,majorBugs,criticalBugs,highPriorityBugs,Unnamed: 24
0,org::eclipse::mylyn::internal::trac::core::util::TracUtil ,6,4,0,0,1,7,1,0,2,22,10,3.14286,8,3,1.14286,14,10,2.0,38.2857,10.5779,3.08906,0.00556971,0.156012,9.15957,0.247042,16,1,11,5,15,0,0,0,42,6,9,0,1,0,5,18,8,0,0,0,0,0, 
1,org::eclipse::mylyn::internal::sandbox::bridge::bugs::ProgressQueryHitCollector ,12,6,0,0,10,14,0,0,3,60,33,4.28571,45,26,3.21429,15,7,1.07143,91.7143,43.4024,8.02984,0.00770449,0.177117,9.31724,0.318043,7,1,2,5,36,0,11,0,60,9,0,6,0,0,8,29,14,0,0,0,0,0, 
2,org::eclipse::mylyn::internal::jira::core::model::filter::DateRangeFilter ,6,3,0,0,5,10,0,0,2,13,5,1.3,15,5,1.5,-2,4,-0.2,110.714,56.3626,6.56833,0.00303072,0.155929,9.239189999999999,0.221372,6,2,6,0,6,0,3,0,13,4,19,3,0,0,3,5,4,0,0,0,0,0, 
3,org::eclipse::mylyn::internal::wikitext::textile::core::phrase::EscapeTextilePhraseModifier ,3,3,0,0,0,3,0,0,2,6,4,2.0,8,6,2.66667,-2,0,-0.666667,32.7143,5.42857,1.49003,0.00170474,0.04351790000000001,0.121386,0.116244,2,2,1,1,6,0,0,0,12,4,22,0,0,0,1,6,3,0,0,0,0,0, 
4,org::eclipse::mylyn::internal::java::ui::search::JavaImplementorsProvider ,3,0,0,0,2,4,0,0,2,7,4,1.75,7,4,1.75,0,3,0.0,92.4286,60.1428,3.17351,0.00112128,0.140881,9.13106,0.180758,1,4,1,0,6,0,2,8,12,4,47,0,0,0,2,4,5,0,0,0,0,0, 
5,org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteVersion ,7,4,1,1,5,9,0,0,2,219,191,24.3333,240,212,26.6667,-21,7,-2.33333,110.714,24.015,5.94514,0.0165403,0.153982,9.221219999999999,0.218565,4,3,0,4,91,0,7,0,78,14,52,7,0,0,14,33,33,0,0,0,0,0, 
6,org::eclipse::mylyn::tasklist::tests::Person ,2,1,0,0,2,3,1,1,2,1,1,0.333333,0,0,0.0,1,1,0.333333,190.571,9.0,1.39346,0.0146329,0.00175047,0.0318345,5.37898e-05,2,1,1,1,105,0,7,0,57,15,9,7,0,0,15,17,21,0,0,0,0,0, 
7,org::eclipse::mylyn::internal::bugzilla::ui::actions::ViewFavoriteAction ,1,0,0,0,0,3,0,1,1,0,0,0.0,0,0,0.0,0,0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,2,3,1,0,1,0,16,2,2,1,0,0,2,8,3,0,0,0,0,0, 
8,org::eclipse::mylyn::internal::tasks::ui::actions::SynchronizeSelectedAction ,29,14,2,1,20,39,0,0,3,281,98,7.20513,245,37,6.28205,36,61,0.923077,139.429,40.9451,17.9092,0.16453,0.237774,9.65395,0.442279,10,1,0,10,3,0,3,0,95,3,0,3,1,0,2,56,20,0,0,0,0,0, 
9,org::eclipse::mylyn::internal::jira::core::model::Subtask ,4,2,0,0,2,6,0,0,2,10,5,1.66667,9,4,1.5,1,4,0.166667,93.2857,41.2714,4.58293,0.00233645,0.145075,9.17116,0.186189,3,1,3,0,3,0,3,0,10,3,18,3,0,0,3,3,3,0,0,0,0,0, 
10,org::eclipse::mylyn::internal::tasks::core::TaskComment ,3,2,0,0,3,6,0,0,2,14,4,2.33333,11,4,1.83333,3,3,0.5,45.2857,8.0,3.39209,0.00213619,0.151673,9.15904,0.235454,7,1,5,2,120,0,8,0,53,16,24,8,0,0,16,19,16,0,0,0,0,0, 
11,org::eclipse::mylyn::internal::tasks::core::TaskDataStorageManager ,7,3,0,0,5,8,0,0,2,22,8,2.75,19,8,2.375,3,4,0.375,46.5714,8.61688,6.31013,0.00457386,0.1853,9.29392,0.368531,5,1,0,5,153,0,3,0,211,18,9,3,3,0,15,90,57,0,0,0,0,0, 
12,org::eclipse::mylyn::internal::hypertext::ui::editors::WebResourceContentProvider ,1,0,0,0,1,3,0,0,1,0,0,0.0,0,0,0.0,0,0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,2,1,28,0,0,0,56,8,9,0,0,0,8,23,15,0,0,0,0,0, 
