,classname,numberOfBugsFoundUntil,numberOfNonTrivialBugsFoundUntil,numberOfMajorBugsFoundUntil,numberOfCriticalBugsFoundUntil,numberOfHighPriorityBugsFoundUntil,bugs,nonTrivialBugs,majorBugs,criticalBugs,highPriorityBugs,
0,org::eclipse::pde::internal::core::text::toc::TocAnchor , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
1,org::eclipse::pde::internal::ui::editor::SystemFileEditorInputFactory , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
2,org::eclipse::pde::internal::ui::editor::cheatsheet::simple::actions::SimpleCSRemoveRunObjectAction , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
3,org::eclipse::pde::internal::ui::editor::outline::QuickOutlineNamePatternFilter , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
4,org::eclipse::pde::internal::ui::tests::macro::FocusCommand , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
5,org::eclipse::pde::internal::ui::build::ProductExportJob , 8 , 5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
6,org::eclipse::pde::internal::ui::PDEUIMessages , 232 , 143 , 7 , 0 , 0 , 28 , 2 , 0 , 0 , 0 , 
7,org::eclipse::pde::internal::ui::wizards::tools::ConvertedProjectWizard , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
8,org::eclipse::pde::internal::ui::correction::OrganizeExportPackageResolution , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
9,org::eclipse::pde::internal::ui::views::plugins::JavaSearchOperation , 3 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
10,org::eclipse::pde::internal::ui::editor::PDEFormTextEditorContributor , 3 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 
11,org::eclipse::pde::internal::core::builders::SchemaErrorReporter , 5 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
12,org::eclipse::pde::internal::core::cheatsheet::comp::CompCSDependency , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
13,org::eclipse::pde::internal::ui::editor::target::ArgumentsSection , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
14,org::eclipse::pde::internal::core::product::ArgumentsInfo , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
15,org::eclipse::pde::internal::core::search::ExtensionPluginSearchScope , 4 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
16,org::eclipse::ui::internal::views::log::Messages , 13 , 6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
17,org::eclipse::pde::internal::ui::wizards::plugin::PluginContentPage , 14 , 11 , 3 , 1 , 0 , 3 , 1 , 0 , 0 , 0 , 
18,org::eclipse::pde::internal::ui::wizards::ctxhelp::NewCtxHelpOperation , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
19,org::eclipse::pde::internal::core::build::Build , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
20,org::eclipse::pde::internal::ui::editor::cheatsheet::simple::details::SimpleCSItemDetails , 23 , 9 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
21,org::eclipse::pde::internal::runtime::spy::dialogs::SpyDialog , 5 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
22,org::eclipse::pde::internal::ui::build::BuildFeatureAction , 9 , 9 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
23,org::eclipse::pde::ui::launcher::EquinoxLaunchConfiguration , 11 , 11 , 4 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 
24,org::eclipse::pde::internal::core::exports::FeatureExportInfo , 2 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
25,org::eclipse::pde::internal::ui::launcher::ProgramBlock , 2 , 2 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
26,org::eclipse::pde::internal::ui::PDEPlugin , 8 , 6 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
27,org::eclipse::pde::internal::core::text::bundle::ExportPackageObject , 7 , 6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
28,org::eclipse::pde::internal::ui::wizards::product::NewProductFileAction , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
29,org::eclipse::pde::internal::ui::search::dependencies::AddNewDependenciesAction , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
30,org::eclipse::pde::internal::ui::tests::macro::NewMacroWizard , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
31,org::eclipse::pde::internal::ui::editor::feature::PluginSection , 24 , 20 , 1 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 
32,org::eclipse::pde::internal::core::text::bundle::SingleManifestHeader , 2 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
33,org::eclipse::pde::internal::ui::refactoring::ManifestPackageMoveParticipant , 2 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
34,org::eclipse::pde::internal::core::plugin::Fragment , 4 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
35,org::eclipse::pde::internal::ui::editor::site::SiteEditor , 8 , 7 , 2 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
36,org::eclipse::pde::internal::core::target::TargetObject , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
37,org::eclipse::pde::ui::launcher::MainTab , 7 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
38,org::eclipse::pde::internal::ui::editor::context::XMLDocumentSetupParticpant , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
39,org::eclipse::pde::internal::ui::editor::build::JARFileFilter , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
40,org::eclipse::pde::internal::ui::templates::osgi::OSGiPreferencesServiceTemplate , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
41,org::eclipse::pde::internal::core::text::toc::TocLink , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
