,classname,numberOfBugsFoundUntil,numberOfNonTrivialBugsFoundUntil,numberOfMajorBugsFoundUntil,numberOfCriticalBugsFoundUntil,numberOfHighPriorityBugsFoundUntil,bugs,nonTrivialBugs,majorBugs,criticalBugs,highPriorityBugs,
0,org::eclipse::jdt::internal::core::search::indexing::IndexBinaryFolder , 3 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
1,org::eclipse::jdt::internal::compiler::codegen::CachedIndexEntry , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
2,org::eclipse::jdt::internal::compiler::ast::ASTNode , 55 , 48 , 6 , 4 , 2 , 1 , 0 , 0 , 0 , 0 , 
3,org::eclipse::jdt::internal::compiler::lookup::MemberTypeBinding , 3 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
4,org::eclipse::jdt::internal::eval::CodeSnippetParser , 15 , 13 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 
5,org::eclipse::jdt::internal::formatter::Location , 13 , 13 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
6,org::eclipse::jdt::core::dom::SingleMemberAnnotation , 5 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
7,org::eclipse::jdt::internal::compiler::parser::NLSTag , 6 , 5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
8,org::eclipse::jdt::internal::compiler::parser::RecoveredBlock , 7 , 6 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 
9,org::eclipse::jdt::internal::core::CompilationUnitElementInfo , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 
10,org::eclipse::jdt::core::dom::MemberRef , 3 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
11,org::eclipse::jdt::internal::core::util::Annotation , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
12,org::eclipse::jdt::internal::codeassist::select::SelectionOnQualifiedNameReference , 4 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
13,org::eclipse::jdt::internal::compiler::flow::LoopingFlowContext , 11 , 11 , 2 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 
14,org::eclipse::jdt::internal::core::util::KeyKind , 7 , 7 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
15,org::eclipse::jdt::core::dom::ChildListPropertyDescriptor , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
16,org::eclipse::jdt::internal::compiler::ast::TypeDeclaration , 60 , 57 , 6 , 2 , 1 , 3 , 0 , 0 , 0 , 0 , 
17,org::eclipse::jdt::core::dom::ASTRequestor , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
18,org::eclipse::jdt::internal::core::search::AbstractJavaSearchScope , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
19,org::eclipse::jdt::core::search::SearchPattern , 37 , 31 , 1 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 
20,org::eclipse::jdt::core::jdom::DOMFactory , 3 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
21,org::eclipse::jdt::internal::core::util::SignatureAttribute , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
22,org::eclipse::jdt::internal::core::BinaryMember , 10 , 7 , 1 , 0 , 2 , 1 , 0 , 0 , 0 , 0 , 
23,org::eclipse::jdt::internal::compiler::ast::MessageSend , 37 , 31 , 3 , 3 , 0 , 4 , 0 , 0 , 0 , 0 , 
24,org::eclipse::jdt::internal::core::XMLWriter , 4 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
25,org::eclipse::jdt::internal::compiler::parser::JavadocParser , 59 , 50 , 5 , 2 , 3 , 3 , 0 , 0 , 0 , 0 , 
26,org::eclipse::jdt::internal::eval::CodeSnippetSingleNameReference , 16 , 15 , 3 , 2 , 0 , 2 , 0 , 0 , 0 , 0 , 
27,org::eclipse::jdt::internal::compiler::parser::RecoveredInitializer , 6 , 5 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 
28,org::eclipse::jdt::internal::core::util::WeakHashSetOfCharArray , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
29,org::eclipse::jdt::internal::compiler::ast::Expression , 57 , 51 , 11 , 8 , 0 , 0 , 0 , 0 , 0 , 0 , 
30,org::eclipse::jdt::internal::compiler::classfmt::MethodInfoWithAnnotations , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
31,org::eclipse::jdt::internal::core::util::ConstantPool , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
32,org::eclipse::jdt::internal::compiler::ast::ArrayTypeReference , 4 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
33,org::eclipse::jdt::internal::compiler::impl::IntConstant , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
34,org::eclipse::jdt::internal::core::search::matching::SuperTypeReferencePattern , 11 , 9 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
35,org::eclipse::jdt::internal::codeassist::complete::CompletionOnQualifiedAllocationExpression , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
36,org::eclipse::jdt::core::dom::SuperFieldAccess , 10 , 9 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
37,org::eclipse::jdt::internal::core::ExternalPackageFragmentRoot , 5 , 2 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 
38,org::eclipse::jdt::internal::compiler::lookup::MethodScope , 24 , 20 , 3 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 
39,org::eclipse::jdt::internal::compiler::CompilationResult , 22 , 16 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 
40,org::eclipse::jdt::internal::core::util::KeyToSignature , 18 , 17 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
41,org::eclipse::jdt::internal::core::jdom::DOMType , 11 , 11 , 2 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 
42,org::eclipse::jdt::internal::compiler::ast::ForStatement , 18 , 16 , 2 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 
43,org::eclipse::jdt::internal::compiler::lookup::MissingTypeBinding , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
44,org::eclipse::jdt::internal::compiler::ast::TrueLiteral , 2 , 2 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 
45,org::eclipse::jdt::internal::codeassist::complete::CompletionOnKeyword3 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
46,org::eclipse::jdt::internal::formatter::FormatJavadocText , 7 , 6 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 
47,org::eclipse::jdt::internal::core::ImportDeclarationElementInfo , 3 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
48,org::eclipse::jdt::internal::formatter::comment::SubstitutionTextReader , 4 , 3 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
49,org::eclipse::jdt::internal::compiler::ast::NormalAnnotation , 2 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
50,org::eclipse::jdt::internal::compiler::lookup::SourceTypeBinding , 74 , 67 , 16 , 5 , 0 , 6 , 0 , 1 , 0 , 0 , 
51,org::eclipse::jdt::internal::core::SetContainerOperation , 5 , 5 , 3 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 
52,org::eclipse::jdt::internal::compiler::lookup::AnnotationBinding , 4 , 3 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 
53,org::eclipse::jdt::internal::core::LRUCacheEnumerator , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
