,Unnamed: 0,classname,numberOfVersionsUntil,numberOfFixesUntil,numberOfRefactoringsUntil,numberOfAuthorsUntil,linesAddedUntil,maxLinesAddedUntil,avgLinesAddedUntil,linesRemovedUntil,maxLinesRemovedUntil,avgLinesRemovedUntil,codeChurnUntil,maxCodeChurnUntil,avgCodeChurnUntil,ageWithRespectTo,weightedAgeWithRespectTo,bugs,nonTrivialBugs,majorBugs,criticalBugs,highPriorityBugs,Unnamed: 22
0,5,org::eclipse::jdt::internal::formatter::Location ,16,5,0,5,37.0,6.0,2.3125,17.0,6.0,1.0625,20.0,4.0,1.25,264.857,48.8224,0,0,0,0,0, 
1,21,org::eclipse::jdt::internal::core::util::SignatureAttribute ,6,3,0,3,104.0,49.0,17.3333,6.0,4.0,1.0,98.0,49.0,16.3333,228.857,14.8173,0,0,0,0,0, 
2,22,org::eclipse::jdt::internal::core::BinaryMember ,43,6,0,6,409.0,105.0,9.51163,317.0,110.0,7.372089999999999,92.0,79.0,2.1395299999999997,367.0,133.861,1,0,0,0,0, 
3,30,org::eclipse::jdt::internal::compiler::classfmt::MethodInfoWithAnnotations ,2,1,0,2,1.0,1.0,0.5,1.0,1.0,0.5,0.0,0.0,0.0,127.0,69.2857,0,0,0,0,0, 
4,32,org::eclipse::jdt::internal::compiler::ast::ArrayTypeReference ,47,7,0,5,320.0,52.0,6.808510000000001,262.0,52.0,5.57447,58.0,20.0,1.23404,367.0,92.4138,0,0,0,0,0, 
5,36,org::eclipse::jdt::core::dom::SuperFieldAccess ,39,14,0,7,465.0,167.0,11.9231,264.0,167.0,6.76923,201.0,74.0,5.15385,333.14300000000003,70.569,0,0,0,0,0, 
6,38,org::eclipse::jdt::internal::compiler::lookup::MethodScope ,89,9,0,9,2001.0,399.0,22.4831,1889.0,399.0,21.2247,112.0,117.0,1.25843,367.0,118.103,1,1,0,0,0, 
7,42,org::eclipse::jdt::internal::compiler::ast::ForStatement ,86,11,0,8,1629.0,335.0,18.9419,1535.0,335.0,17.8488,94.0,65.0,1.09302,367.0,76.4774,0,0,0,0,0, 
8,49,org::eclipse::jdt::internal::compiler::ast::NormalAnnotation ,18,9,1,6,211.0,84.0,11.7222,53.0,14.0,2.94444,158.0,84.0,8.77778,222.71400000000003,21.6087,0,0,0,0,0, 
9,55,org::eclipse::jdt::core::dom::MethodDeclaration ,73,16,0,8,2096.0,439.0,28.7123,1160.0,439.0,15.8904,936.0,282.0,12.8219,333.14300000000003,84.0883,0,0,0,0,0, 
10,62,org::eclipse::jdt::internal::compiler::env::AccessRuleSet ,16,2,0,4,151.0,30.0,9.4375,109.0,31.0,6.8125,42.0,19.0,2.625,169.143,46.8515,0,0,0,0,0, 
11,72,org::eclipse::jdt::internal::core::CreateImportOperation ,49,4,0,7,405.0,136.0,8.265310000000001,338.0,136.0,6.89796,67.0,17.0,1.36735,367.0,104.855,0,0,0,0,0, 
12,77,org::eclipse::jdt::core::dom::BreakStatement ,34,12,0,7,316.0,123.0,9.29412,181.0,123.0,5.32353,135.0,60.0,3.97059,333.14300000000003,70.9878,0,0,0,0,0, 
13,80,org::eclipse::jdt::internal::compiler::ast::ImportReference ,44,9,0,6,292.0,61.0,6.636360000000001,271.0,61.0,6.15909,21.0,16.0,0.47727299999999995,367.0,78.2143,0,0,0,0,0, 
14,82,org::eclipse::jdt::internal::eval::VariablesInfo ,18,5,0,4,134.0,64.0,7.444439999999999,136.0,64.0,7.555560000000001,-2.0,5.0,-0.11111099999999999,367.0,53.8454,0,0,0,0,0, 
15,89,org::eclipse::jdt::internal::compiler::ast::SubRoutineStatement ,19,6,0,5,70.0,23.0,3.6842099999999998,89.0,23.0,4.68421,-19.0,11.0,-1.0,270.143,145.004,0,0,0,0,0, 
16,95,org::eclipse::jdt::internal::core::util::CommentRecorderScanner ,8,4,0,4,12.0,4.0,1.5,10.0,4.0,1.25,2.0,1.0,0.25,228.143,40.2857,1,0,0,0,0, 
17,108,org::eclipse::jdt::internal::core::search::JavaSearchParticipant ,21,4,0,7,52.0,15.0,2.4761900000000003,227.0,82.0,10.8095,-175.0,2.0,-8.33333,236.0,27.4478,0,0,0,0,0, 
18,111,org::eclipse::jdt::internal::compiler::env::NameEnvironmentAnswer ,30,3,0,6,929.0,78.0,30.9667,902.0,78.0,30.0667,27.0,16.0,0.9,367.0,30.1708,0,0,0,0,0, 
