,classname,numberOfBugsFoundUntil,numberOfNonTrivialBugsFoundUntil,numberOfMajorBugsFoundUntil,numberOfCriticalBugsFoundUntil,numberOfHighPriorityBugsFoundUntil,numberOfVersionsUntil,numberOfFixesUntil,numberOfRefactoringsUntil,numberOfAuthorsUntil,linesAddedUntil,maxLinesAddedUntil,avgLinesAddedUntil,linesRemovedUntil,maxLinesRemovedUntil,avgLinesRemovedUntil,codeChurnUntil,maxCodeChurnUntil,avgCodeChurnUntil,ageWithRespectTo,weightedAgeWithRespectTo,CvsEntropy,CvsWEntropy,CvsLinEntropy,CvsLogEntropy,CvsExpEntropy,cbo,dit,fanIn,fanOut,lcom,noc,numberOfAttributes,numberOfAttributesInherited,numberOfLinesOfCode,numberOfMethods,numberOfMethodsInherited,numberOfPrivateAttributes,numberOfPrivateMethods,numberOfPublicAttributes,numberOfPublicMethods,rfc,wmc,bugs,nonTrivialBugs,majorBugs,criticalBugs,highPriorityBugs,Unnamed: 24
0,org::eclipse::jdt::internal::core::search::indexing::IndexBinaryFolder ,3,2,0,0,0,65,4,0,8,608,158,9.35385,566,158,8.70769,42,15,0.646154,350.571,63.0609,10.9131,0.00830197,0.0147667,0.253257,0.00112474,9,2,1,9,15,0,1,8,122,6,19,0,0,1,5,34,20,0,0,0,0,0, 
1,org::eclipse::jdt::internal::compiler::codegen::CachedIndexEntry ,0,0,0,0,0,2,0,0,2,10,10,5.0,0,0,0.0,10,10,5.0,117.714,0.0,1.10349,0.000657459,0.00188573,0.027116,0.0003508780000000001,1,1,1,0,0,0,2,0,4,1,8,0,0,2,1,1,1,0,0,0,0,0, 
2,org::eclipse::jdt::internal::compiler::ast::ASTNode ,55,48,6,4,2,120,10,0,12,1361,99,11.3417,768,77,6.4,593,66,4.941669999999999,238.429,104.204,37.8606,0.228509,0.10618,1.0284,0.210412,114,1,102,18,190,6,131,249,484,20,8,0,1,3,19,156,176,1,0,0,0,0, 
3,org::eclipse::jdt::internal::compiler::lookup::MemberTypeBinding ,3,3,0,0,0,28,4,0,5,138,39,4.92857,123,39,4.39286,15,23,0.535714,367.0,112.678,5.860130000000001,0.00910478,0.0101128,0.14368,0.0034853,5,6,1,4,10,0,0,61,33,5,207,0,0,0,4,18,12,0,0,0,0,0, 
4,org::eclipse::jdt::internal::eval::CodeSnippetParser ,15,13,1,1,0,93,17,0,8,1870,684,20.1075,1881,692,20.2258,-11,18,-0.11828,367.0,54.9702,13.596,0.0160054,0.0257509,0.338602,0.0213775,23,2,1,22,820,0,7,416,673,41,8,0,2,7,1,174,115,0,0,0,0,0, 
5,org::eclipse::jdt::internal::formatter::Location ,13,13,3,0,0,16,5,0,5,37,6,2.3125,17,6,1.0625,20,4,1.25,264.857,48.8224,4.55853,0.00199999,0.00548106,0.103103,0.000127393,2,1,1,1,1,0,12,0,16,2,8,0,0,12,2,4,2,0,0,0,0,0, 
6,org::eclipse::jdt::core::dom::SingleMemberAnnotation ,5,4,0,0,0,30,5,0,5,535,142,17.8333,74,13,2.46667,461,142,15.3667,226.0,3.2259,5.59671,0.00395051,0.149865,8.07898,0.23097,6,4,2,4,78,0,4,96,87,13,88,2,0,0,3,46,23,0,0,0,0,0, 
7,org::eclipse::jdt::internal::compiler::parser::NLSTag ,6,5,0,0,0,7,6,0,2,14,7,2.0,29,27,4.14286,-15,4,-2.14286,150.714,12.1531,4.987740000000001,0.00385486,0.00788835,0.120148,0.0012199,2,1,2,0,1,0,4,0,9,2,8,0,0,4,2,2,2,0,0,0,0,0, 
8,org::eclipse::jdt::internal::compiler::parser::RecoveredBlock ,7,6,0,0,1,52,5,0,7,1075,343,20.6731,889,343,17.0962,186,68,3.57692,367.0,81.1875,11.93,0.0397218,0.170703,8.25875,0.27893,11,3,2,9,105,0,9,119,250,15,40,0,0,9,13,50,64,0,0,0,0,0, 
9,org::eclipse::jdt::internal::core::CompilationUnitElementInfo ,1,0,0,0,1,23,5,0,6,122,42,5.30435,138,42,6.0,-16,16,-0.695652,367.0,84.4309,10.7711,0.00781561,0.131699,8.15155,0.169684,4,3,3,1,6,1,3,3,9,4,17,0,0,1,3,5,3,0,0,0,0,0, 
10,org::eclipse::jdt::core::dom::MemberRef ,3,3,0,0,0,25,8,0,5,228,82,9.12,61,8,2.44,167,74,6.68,229.714,10.4781,6.70304,0.00381663,0.152618,8.10942,0.231938,6,2,3,4,105,0,5,95,95,15,68,3,0,0,6,51,25,0,0,0,0,0, 
11,org::eclipse::jdt::internal::core::util::Annotation ,1,1,0,0,0,11,4,0,3,193,81,17.5455,12,4,1.09091,181,81,16.4545,222.857,13.1984,4.07501,0.00220824,0.006219300000000001,0.097153,0.00103086,8,2,4,4,15,0,6,0,42,6,23,6,0,0,5,14,10,0,0,0,0,0, 
12,org::eclipse::jdt::internal::codeassist::select::SelectionOnQualifiedNameReference ,4,4,0,0,0,32,7,0,5,219,89,6.84375,207,89,6.46875,12,11,0.375,367.0,53.9478,6.734439999999999,0.00389127,0.132755,8.07051,0.197855,5,7,1,4,3,0,0,397,42,3,124,0,0,0,3,22,14,0,0,0,0,0, 
13,org::eclipse::jdt::internal::compiler::flow::LoopingFlowContext ,11,11,2,1,0,52,3,0,5,991,226,19.0577,633,148,12.1731,358,161,6.88462,367.0,136.59,10.0952,0.0550803,0.0225858,0.262712,0.0240387,12,3,4,8,78,0,16,143,387,13,40,6,0,10,10,125,93,0,0,0,0,0, 
14,org::eclipse::jdt::internal::core::util::KeyKind ,7,7,1,0,0,13,2,0,4,91,31,7.0,49,14,3.76923,42,17,3.23077,175.0,35.4835,10.4506,0.0182484,0.133647,8.14963,0.182548,1,2,1,0,136,0,15,2,53,17,41,1,0,1,17,18,19,0,0,0,0,0, 
15,org::eclipse::jdt::core::dom::ChildListPropertyDescriptor ,1,1,0,0,0,9,5,0,4,11,5,1.22222,10,5,1.11111,1,1,0.111111,224.857,86.3117,6.70304,0.00406141,0.152618,8.10942,0.231938,4,2,3,1,3,0,2,0,14,3,15,0,0,2,2,4,4,0,0,0,0,0, 
16,org::eclipse::jdt::internal::compiler::ast::TypeDeclaration ,60,57,6,2,1,193,30,0,12,6571,1071,34.0466,6072,1123,31.4611,499,174,2.58549,367.0,111.711,37.7605,0.264394,0.222874,8.91639,0.371919,63,3,36,33,351,2,30,391,624,27,42,0,1,26,25,172,148,3,0,0,0,0, 
