,classname,numberOfBugsFoundUntil,numberOfNonTrivialBugsFoundUntil,numberOfMajorBugsFoundUntil,numberOfCriticalBugsFoundUntil,numberOfHighPriorityBugsFoundUntil,numberOfVersionsUntil,numberOfFixesUntil,numberOfRefactoringsUntil,numberOfAuthorsUntil,linesAddedUntil,maxLinesAddedUntil,avgLinesAddedUntil,linesRemovedUntil,maxLinesRemovedUntil,avgLinesRemovedUntil,codeChurnUntil,maxCodeChurnUntil,avgCodeChurnUntil,ageWithRespectTo,weightedAgeWithRespectTo,CvsEntropy,CvsWEntropy,CvsLinEntropy,CvsLogEntropy,CvsExpEntropy,cbo,dit,fanIn,fanOut,lcom,noc,numberOfAttributes,numberOfAttributesInherited,numberOfLinesOfCode,numberOfMethods,numberOfMethodsInherited,numberOfPrivateAttributes,numberOfPrivateMethods,numberOfPublicAttributes,numberOfPublicMethods,rfc,wmc,bugs,nonTrivialBugs,majorBugs,criticalBugs,highPriorityBugs,Unnamed: 24
0,ext::framework::a::importer::Activator ,1,1,0,0,0,2,0,0,1,10,10,5.0,0,0,0.0,10,10,5.0,40.8571,3.14286,1.11258,0.0301612,0.00568177,0.0373952,0.0173512,6,1,0,6,3,0,0,0,15,3,9,0,1,0,2,14,3,0,0,0,0,0, 
1,org::eclipse::osgi::framework::internal::reliablefile::ReliableFile ,5,4,0,0,0,18,4,1,7,1431,532,79.5,1131,552,62.8333,300,394,16.6667,239.143,37.3797,7.607939999999999,0.501074,0.010183,0.176179,0.0006574489999999999,14,1,3,11,300,0,25,0,492,25,7,17,7,0,7,172,115,0,0,0,0,0, 
2,org::osgi::framework::ServiceEvent ,3,3,0,0,0,14,1,0,4,342,130,24.4286,337,123,24.0714,5,8,0.357143,239.143,70.6278,6.44925,0.113243,0.0108567,0.156537,0.00528038,4,1,4,0,3,0,6,0,11,3,15,2,0,0,3,3,3,1,0,0,0,0, 
3,org::eclipse::osgi::framework::internal::core::BundleProtectionDomainImpl ,0,0,0,0,0,4,0,0,2,3,3,0.75,49,44,12.25,-46,0,-11.5,178.857,4.57143,3.0823,0.0196326,0.00357232,0.0691437,6.14191e-05,1,2,1,0,0,0,1,0,4,1,12,0,0,1,1,1,1,0,0,0,0,0, 
4,substitutes::z::Fz ,1,1,0,0,0,1,0,0,1,0,0,0.0,0,0,0.0,0,0,0.0,19.1429,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0, 
5,circularity::test::Activator ,1,1,0,0,0,1,0,0,1,0,0,0.0,0,0,0.0,0,0,0.0,85.1429,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,2,1,0,0,0,6,2,9,0,0,0,2,8,2,0,0,0,0,0, 
6,org::eclipse::osgi::framework::internal::core::ConditionalPermissionSet ,7,7,0,0,0,14,4,1,2,195,82,13.9286,97,73,6.92857,98,27,7.0,178.857,23.8447,9.01949,0.2172,0.0113774,0.206164,0.000414905,12,2,3,9,45,0,6,0,153,10,20,6,1,0,4,34,39,0,0,0,0,0, 
7,org::eclipse::osgi::internal::module::BundleConstraint ,1,1,0,0,0,7,1,0,3,211,95,30.1429,88,43,12.5714,123,95,17.5714,180.0,2.52539,5.09157,0.0549516,0.00754879,0.119792,0.00316005,3,2,2,1,1,0,0,2,8,2,27,0,0,0,0,3,3,0,0,0,0,0, 
8,org::eclipse::osgi::internal::resolver::SystemState ,6,5,1,0,0,11,2,0,5,102,31,9.272730000000001,83,40,7.54545,19,27,1.72727,237.714,59.7899,5.94951,0.184141,0.009387200000000002,0.142004,0.00494446,2,2,1,1,10,0,0,2,13,5,97,0,0,0,5,9,4,1,0,0,0,0, 
9,org::eclipse::osgi::internal::module::VersionSupplier ,2,2,0,0,0,7,0,0,3,100,42,14.2857,15,7,2.14286,85,38,12.1429,180.0,30.1943,5.76365,0.0340833,0.0224321,0.168368,0.068437,10,1,8,2,36,3,2,0,21,9,7,1,0,0,5,12,7,0,0,0,0,0, 
